时间戳,数值
1754308151.3529298,-16192
1754308151.352939,56
1754308151.3529463,14336
1754308151.3529499,56
1754308151.3529513,-2048
1754308151.3529534,14392
1754308151.3529549,14528
1754308151.3529608,-16136
1754308151.3531332,14584
1754308151.353139,14336
1754308151.3531418,-1992
1754308151.3531444,-2048
1754308151.353148,14392
1754308151.3531506,14392
1754308151.3531532,14392
1754308151.3531559,56
1754308151.353159,-2048
1754308151.3531733,56
1754308151.3531938,-1856
1754308151.3532164,14584
1754308151.3532388,0
1754308151.3532617,14392
1754308151.353284,-1992
1754308151.3533075,14336
1754308151.353328,-16136
1754308151.3533506,14528
1754308151.3533728,14392
1754308151.3533957,14584
1754308151.3534184,-16328
1754308151.3534403,-1856
1754308151.3534627,56
1754308151.3534865,14528
1754308151.353507,14584
1754308151.3535302,56
1754308151.353553,-16328
1754308151.3535755,14392
1754308151.3535984,14584
1754308151.353622,56
1754308151.3536425,14392
1754308151.3536654,14336
1754308151.3536878,-16328
1754308151.3537102,14336
1754308151.3537326,-1856
1754308151.3537557,14528
1754308151.3537781,-2048
1754308151.353801,56
1754308151.353824,192
1754308151.3538465,56
1754308151.353869,56
1754308151.3538916,14392
1754308151.353914,14392
1754308151.3539371,-16384
1754308151.35396,56
1754308151.353983,248
1754308151.3540058,56
1754308151.3540282,14584
1754308151.3540516,14528
1754308151.354074,-16328
1754308151.354097,14584
1754308151.3541203,-16192
1754308151.3544471,-16328
1754308151.3544626,-16328
1754308151.354496,56
1754308151.354519,-16192
1754308151.354541,-16328
1754308151.354564,-16384
1754308151.354587,56
1754308151.3546097,14336
1754308151.3546329,14584
1754308151.3546531,-1992
1754308151.3546758,-16384
1754308151.354698,56
1754308151.3547208,-1992
1754308151.3547437,14584
1754308151.3547645,-2048
1754308151.3547869,-1992
1754308151.3548093,14528
1754308151.354832,-1856
1754308151.3548543,-16328
1754308151.3548772,14584
1754308151.3549001,14392
1754308151.35492,14336
1754308151.3549426,56
1754308151.3549645,-16328
1754308151.3549876,14392
1754308151.3550103,-1800
1754308151.3550334,56
1754308151.3550541,14528
1754308151.3550766,14392
1754308151.355099,56
1754308151.3551211,14392
1754308151.3551433,192
1754308151.355166,-16328
1754308151.3551903,14336
1754308151.3552127,192
1754308151.3552353,56
1754308151.3552575,14336
1754308151.3552802,14336
1754308151.3553035,-16328
1754308151.3553243,14336
1754308151.3553472,56
1754308151.355368,14392
1754308151.3553915,-16328
1754308151.3554137,14584
1754308151.355437,-1800
1754308151.3554575,14392
1754308151.35548,-1992
1754308151.3555021,14336
1754308151.3555248,-1856
1754308151.3555484,14584
1754308151.3555708,14584
1754308151.3555932,14392
1754308151.3556154,56
1754308151.3556383,14584
1754308151.355661,-16136
1754308151.355683,14584
1754308151.3557062,248
1754308151.355727,-16328
1754308151.3557494,-1800
1754308151.3557723,14392
1754308151.3579943,-1992
1754308151.358001,14584
1754308151.3580046,-16328
1754308151.3580108,56
1754308151.3580334,14528
1754308151.3580549,0
1754308151.358079,-16328
1754308151.3581023,14584
1754308151.3581257,248
1754308151.35815,-16328
1754308151.3581734,14336
1754308151.3581977,-1800
1754308151.3582203,14336
1754308151.3582418,248
1754308151.3582628,56
1754308151.3582864,14336
1754308151.35831,-16136
1754308151.358333,14528
1754308151.3583567,14392
1754308151.3583806,-2048
1754308151.3584046,-16384
1754308151.3584256,14392
1754308151.3584495,14392
1754308151.3584726,14584
1754308151.3584964,56
1754308151.3585203,-16328
1754308151.3585439,14336
1754308151.3585677,-16384
1754308151.358655,-16328
1754308151.3586588,-16136
1754308151.3586614,56
1754308151.3586645,-1800
1754308151.3586872,-16328
1754308151.3587081,14392
1754308151.358734,-1992
1754308151.3587549,56
1754308151.35879,14528
1754308151.3588152,14584
1754308151.3588364,56
1754308151.3588603,14336
1754308151.3588848,-2048
1754308151.3589063,56
1754308151.3589299,-1800
1754308151.3589537,-1992
1754308151.3589778,14584
1754308151.3590233,248
1754308151.359031,-16328
1754308151.3591092,-1800
1754308151.3591123,-16328
1754308151.359136,14336
1754308151.3591807,-1992
1754308151.3591967,-1992
1754308151.3592117,14584
1754308151.3592334,-1992
1754308151.359261,56
1754308151.359282,14392
1754308151.3593032,14392
1754308151.3593266,56
1754308151.3593504,14528
1754308151.359375,-16328
1754308151.3612804,56
1754308151.3613038,14392
1754308151.361327,-1800
1754308151.3613498,-16328
1754308151.361373,-1800
1754308151.361396,-16328
1754308151.3614182,-1800
1754308151.3614419,-16328
1754308151.3614655,14584
1754308151.3614948,248
1754308151.3615155,14392
1754308151.3615375,14336
1754308151.361563,14392
1754308151.3615844,-16328
1754308151.3616097,-2048
1754308151.3616316,-1992
1754308151.361657,-16136
1754308151.3616786,-16328
1754308151.361702,14392
1754308151.3617258,-16136
1754308151.3617506,56
1754308151.3617728,14584
1754308151.3617976,-16328
1754308151.3618195,14584
1754308151.3618438,-16192
1754308151.3618677,-16328
1754308151.3618925,-1992
1754308151.3619142,56
1754308151.3619385,14528
1754308151.361962,-2048
1754308151.3619862,-1992
1754308151.36201,14392
1754308151.362034,14392
1754308151.3620594,14584
1754308151.3620806,-16328
1754308151.3621044,192
1754308151.362128,-1992
1754308151.3621528,14584
1754308151.3621755,14392
1754308151.3621984,-16328
1754308151.3622203,-1992
1754308151.3622448,14336
1754308151.3622687,-16384
1754308151.362293,-16328
1754308151.3623168,-16328
1754308151.3623414,14528
1754308151.362363,-16192
1754308151.362387,14528
1754308151.3624108,-16192
1754308151.3624356,-1992
1754308151.3624573,14528
1754308151.362482,14584
1754308151.3625035,14584
1754308151.362528,-16192
1754308151.3625524,14584
1754308151.3625765,-16384
1754308151.3626008,-1992
1754308151.362625,14336
1754308151.3626487,14584
1754308151.36271,-16328
1754308151.3648996,-16136
1754308151.3649049,14392
1754308151.3649104,14528
1754308151.364976,-16136
1754308151.3649838,14392
1754308151.3649879,14584
1754308151.3649912,-1800
1754308151.3652673,14584
1754308151.3652728,-16192
1754308151.3652766,14528
1754308151.3652816,-16384
1754308151.3652852,56
1754308151.3652887,14392
1754308151.3652947,-16136
1754308151.3653028,14528
1754308151.365308,14392
1754308151.3653111,-1992
1754308151.3653142,-16192
1754308151.3653176,-1992
1754308151.3653216,14392
1754308151.3653247,-1856
1754308151.3653436,-16328
1754308151.365348,-16136
1754308151.365384,14392
1754308151.3654459,14528
1754308151.365504,14336
1754308151.3655357,56
1754308151.365543,14336
1754308151.3655884,-1992
1754308151.3655922,56
1754308151.365632,-1992
1754308151.3656964,-1800
1754308151.3657787,-16328
1754308151.3657827,14584
1754308151.365786,-16136
1754308151.3658595,-16328
1754308151.3658628,-1992
1754308151.365866,-16328
1754308151.3659034,14392
1754308151.365924,-16328
1754308151.3659582,14392
1754308151.3659613,14392
1754308151.366008,248
1754308151.3660119,-16328
1754308151.366049,14392
1754308151.3660526,-16192
1754308151.3661015,14392
1754308151.3661053,14584
1754308151.36615,14336
1754308151.3661556,-16136
1754308151.3661883,56
1754308151.3662157,-16136
1754308151.366219,14584
1754308151.366259,-16384
1754308151.3662844,14392
1754308151.366288,14528
1754308151.3663452,-1800
1754308151.366413,14392
1754308151.3664186,14584
1754308151.366436,192
1754308151.3683352,-16328
1754308151.3683445,14336
1754308151.3683617,14392
1754308151.368386,-2048
1754308151.3684108,14392
1754308151.3684323,-16192
1754308151.3684561,14392
1754308151.36848,14528
1754308151.368504,192
1754308151.36853,56
1754308151.3685517,14336
