时间戳,数值
1754447684.9589703,-32768
1754447684.9589791,-32768
1754447684.9590063,-32768
1754447684.959029,-32768
1754447684.95905,-32768
1754447684.9590738,-32768
1754447684.9590936,-32768
1754447684.9591146,-32768
1754447684.9591355,-32768
1754447684.959157,-32768
1754447684.959178,-32768
1754447684.9591987,-32768
1754447684.9592204,-32768
1754447684.9592412,-32768
1754447684.9592624,-32768
1754447684.959283,-32768
1754447684.9593058,-32768
1754447684.9593272,-32768
1754447684.9593482,-32768
1754447684.959369,-32768
1754447684.95939,-32768
1754447684.9594111,-32768
1754447684.9594321,-32768
1754447684.9594529,-32768
1754447684.9594743,-32768
1754447684.9594963,-32768
1754447684.9595177,-32768
1754447684.9595387,-32768
1754447684.9595597,-32768
1754447684.9595807,-32768
1754447684.9596019,-32768
1754447684.9596226,-32768
1754447684.9596436,-32768
1754447684.9596672,-32768
1754447684.9596882,-32768
1754447684.9597092,-32768
1754447684.9597304,-32768
1754447684.9597516,-32768
1754447684.9597733,-32768
1754447684.9597938,-32768
1754447684.9598155,-32768
1754447684.9598367,-32768
1754447684.9598575,-32768
1754447684.9598787,-32768
1754447684.9598994,-32768
1754447684.9599204,-32768
1754447684.959941,-32768
1754447684.959962,-32768
1754447684.959983,-32768
1754447684.9600039,-32768
1754447684.9600246,-32768
1754447684.9600453,-32768
1754447684.9600663,-32768
1754447684.9600875,-32768
1754447684.9601085,-32768
1754447684.9601295,-32768
1754447684.9601502,-32768
1754447684.9601712,-32768
1754447684.9601924,-32768
1754447684.960213,-32768
1754447684.966489,-32768
1754447684.966503,-32768
1754447684.966544,-32768
1754447684.9665656,-32768
1754447684.9665906,-32768
1754447684.9666135,-32768
1754447684.966635,-32768
1754447684.9666567,-32768
1754447684.9666789,-32768
1754447684.9667008,-32768
1754447684.966722,-32768
1754447684.9667454,-32768
1754447684.9667685,-32768
1754447684.966791,-32768
1754447684.9668133,-32768
1754447684.9668355,-32768
1754447684.9668572,-32768
1754447684.9668796,-32768
1754447684.966901,-32768
1754447684.966923,-32768
1754447684.966945,-32768
1754447684.9669683,-32768
1754447684.9669898,-32768
1754447684.9670117,-32768
1754447684.9670331,-32768
1754447684.967055,-32768
1754447684.9670775,-32768
1754447684.9670987,-32768
1754447684.9671204,-32768
1754447684.9671416,-32768
1754447684.9671628,-32768
1754447684.967184,-32768
1754447684.9672065,-32768
1754447684.9672284,-32768
1754447684.9672503,-32768
1754447684.9672725,-32768
1754447684.9672942,-32768
1754447684.967316,-32768
1754447684.9673374,-32768
1754447684.9673593,-32768
1754447684.967381,-32768
1754447684.9674027,-32768
1754447684.967424,-32768
1754447684.9674456,-32768
1754447684.9674673,-32768
1754447684.9674888,-32768
1754447684.9675107,-32768
1754447684.9675326,-32768
1754447684.967554,-32768
1754447684.9675763,-32768
1754447684.967598,-32768
1754447684.9676194,-32768
1754447684.967641,-32768
1754447684.9676633,-32768
1754447684.9676852,-32768
1754447684.967707,-32768
1754447684.9677284,-32768
1754447684.9677498,-32768
1754447684.9677708,-32768
1754447684.9677923,-32768
1754447684.973978,-32768
1754447684.9739819,-32768
1754447684.9739864,-32768
1754447684.9740038,-32768
1754447684.9740252,-32768
1754447684.9781945,-32768
1754447684.9782026,-32768
1754447684.9782093,-32768
1754447684.978222,-32768
1754447684.9782624,-32768
1754447684.978268,-32768
1754447684.978272,-32768
1754447684.9782774,-32768
1754447684.9782805,-32768
1754447684.978284,-32768
1754447684.9782865,-32768
1754447684.9782891,-32768
1754447684.9783905,-32768
1754447684.9783962,-32768
1754447684.9783993,-32768
1754447684.9785488,-32768
1754447684.9785535,-32768
1754447684.9785576,-32768
1754447684.9785607,-32768
1754447684.978564,-32768
1754447684.978569,-32768
1754447684.9785721,-32768
1754447684.9785788,-32768
1754447684.978582,-32768
1754447684.978587,-32768
1754447684.9785903,-32768
1754447684.9785933,-32768
1754447684.978598,-32768
1754447684.9786015,-32768
1754447684.9786046,-32768
1754447684.9786072,-32768
1754447684.9788015,-32768
1754447684.9788237,-32768
1754447684.9788277,-32768
1754447684.978831,-32768
1754447684.978834,-32768
1754447684.9788365,-32768
1754447684.97884,-32768
1754447684.9788437,-32768
1754447684.9788463,-32768
1754447684.9788496,-32768
1754447684.9788544,-32768
1754447684.9788575,-32768
1754447684.9788642,-32768
1754447684.9788678,-32768
1754447684.9788713,-32768
1754447684.9788904,-32768
1754447684.9789116,-32768
1754447684.978933,-32768
1754447684.978954,-32768
1754447684.9789753,-32768
1754447684.9789965,-32768
1754447684.9790175,-32768
1754447684.979039,-32768
1754447684.9790597,-32768
1754447684.9814153,-32768
1754447684.9814348,-32768
1754447684.9814572,-32768
1754447684.9814806,-32768
1754447684.9815023,-32768
1754447684.9815233,-32768
1754447684.981544,-32768
1754447684.9815652,-32768
1754447684.9815857,-32768
1754447684.9816065,-32768
1754447684.9816275,-32768
1754447684.9816484,-32768
1754447684.9816697,-32768
1754447684.981691,-32768
1754447684.9817119,-32768
1754447684.9817326,-32768
1754447684.9817533,-32768
1754447684.9817743,-32768
1754447684.9817955,-32768
1754447684.9818165,-32768
1754447684.9818375,-32768
1754447684.9818602,-32768
1754447684.981882,-32768
1754447684.9819028,-32768
1754447684.9819245,-32768
1754447684.9819458,-32768
1754447684.9819663,-32768
1754447684.9819872,-32768
1754447684.9820077,-32768
1754447684.9820287,-32768
1754447684.9820492,-32768
1754447684.98207,-32768
1754447684.982091,-32768
