时间戳,数值
1754294366.0719504,-2559
1754294366.0719845,8193
1754294366.0720046,-21759
1754294366.072031,-5887
1754294366.0721116,-24063
1754294366.0721183,-5119
1754294366.0721211,-9727
1754294366.0721238,-2303
1754294366.0721486,30209
1754294366.0721676,-16639
1754294366.0721884,29697
1754294366.0722091,-31999
1754294366.0722294,-2047
1754294366.0722547,11009
1754294366.0722737,19713
1754294366.072295,-5375
1754294366.0723155,25089
1754294366.0723364,-3583
1754294366.0723567,-1791
1754294366.0723777,-9727
1754294366.0723977,26881
1754294366.0724204,-767
1754294366.0724456,20481
1754294366.0724645,-15103
1754294366.0724854,2561
1754294366.0725079,18433
1754294366.0725281,2561
1754294366.0725536,-32255
1754294366.0725725,9217
1754294366.0725942,-3071
1754294366.0726585,257
1754294366.0726645,20993
1754294366.072666,-15871
1754294366.0726871,2561
1754294366.0727077,29697
1754294366.0727284,-14591
1754294366.0727491,-6655
1754294366.0727813,4353
1754294366.0728023,8961
1754294366.0728276,-23039
1754294366.072848,-21503
1754294366.0728693,29185
1754294366.0728898,-23039
1754294366.0729103,11265
1754294366.0729313,-20991
1754294366.0729518,-23295
1754294366.072973,-9215
1754294366.0729954,6657
1754294366.073017,17409
1754294366.0730379,5633
1754294366.0730584,8961
1754294366.073081,-31231
1754294366.0731068,769
1754294366.0731242,-15103
1754294366.073145,-4351
1754294366.0731645,-24831
1754294366.0732772,-19455
1754294366.073284,-10495
1754294366.0732872,30465
1754294366.0732887,12801
1754294366.0732918,18177
1754294366.0733292,18177
1754294366.073335,-1535
1754294366.0733588,27649
1754294366.0733795,14081
1754294366.0734024,1281
1754294366.0734231,-25087
1754294366.0734437,-32511
1754294366.0734646,-25087
1754294366.0734854,-11775
1754294366.0735056,28673
1754294366.0735264,-4351
1754294366.0735457,5121
1754294366.0735683,-11775
1754294366.0735884,257
1754294366.0736086,6401
1754294366.0736287,-11007
1754294366.07365,2561
1754294366.0736701,13825
1754294366.0736907,24321
1754294366.0737116,3841
1754294366.0737321,7681
1754294366.0737584,-2815
1754294366.0737772,25857
1754294366.0738006,28417
1754294366.073819,17921
1754294366.0738423,7937
1754294366.0738635,-9471
1754294366.0738833,-16639
1754294366.0739036,8449
1754294366.0739236,14337
1754294366.0739434,1537
