时间戳,数值
1754381687.526501,12799
1754381687.5265074,12799
1754381687.5265164,12799
1754381687.5265183,12799
1754381687.52652,12799
1754381687.5265217,12799
1754381687.526523,12799
1754381687.5265257,12799
1754381687.5265284,12799
1754381687.5265307,12799
1754381687.5265336,12799
1754381687.5265362,12799
1754381687.5291722,12799
1754381687.5291777,12799
1754381687.5291858,12799
1754381687.5292222,12799
1754381687.5292249,12799
1754381687.529228,12799
1754381687.5292666,12799
1754381687.529484,12799
1754381687.529487,12799
1754381687.5294895,12799
1754381687.5294917,12799
1754381687.5294948,12799
1754381687.5295815,12799
1754381687.529585,12799
1754381687.5295875,12799
1754381687.529591,12799
1754381687.5298212,12799
1754381687.529825,12799
1754381687.5298276,12799
1754381687.5298305,12799
1754381687.529835,12799
1754381687.5298777,12799
1754381687.5299077,12799
1754381687.529911,12799
1754381687.5299137,12799
1754381687.5299172,12799
1754381687.5299199,12799
1754381687.5299222,12799
1754381687.529925,12799
1754381687.5299282,12799
1754381687.529959,12799
1754381687.529962,12799
1754381687.5299644,12799
1754381687.5299668,12799
1754381687.530059,12799
1754381687.5301514,12799
1754381687.5301814,12799
1754381687.530208,12799
1754381687.5303059,12799
1754381687.5303087,12799
1754381687.5303116,12799
1754381687.5303395,12799
1754381687.530345,12799
1754381687.5303733,12799
1754381687.5303886,12799
1754381687.5304222,12799
1754381687.530442,12799
1754381687.5304615,12799
1754381687.530485,12799
1754381687.5305123,12799
1754381687.5305603,12799
1754381687.5305636,12799
1754381687.5305662,12799
1754381687.5305789,12799
1754381687.5306108,12799
1754381687.5306294,12799
1754381687.530661,12799
1754381687.530688,12799
1754381687.5307076,12799
1754381687.5307133,12799
1754381687.534675,12799
1754381687.5346806,12799
1754381687.534709,12799
1754381687.534712,12799
1754381687.5347693,12799
1754381687.5347724,12799
1754381687.5347753,12799
1754381687.534795,12799
1754381687.534823,12799
1754381687.5348353,12799
1754381687.5348551,12799
1754381687.534875,12799
1754381687.5348942,12799
1754381687.5349138,12799
1754381687.5349336,12799
1754381687.5349526,12799
1754381687.5349734,12799
1754381687.5349932,12799
1754381687.5350127,12799
1754381687.535032,12799
1754381687.5350516,12799
1754381687.5350726,12799
1754381687.5350926,12799
1754381687.535112,12799
1754381687.5351315,12799
1754381687.5351508,12799
1754381687.53517,12799
1754381687.53519,12799
