时间戳,数值
1754311526.9029696,-1992
1754311526.902979,56
1754311526.9029841,14336
1754311526.902989,-16328
1754311526.9029915,-16328
1754311526.902995,14528
1754311526.903001,-16192
1754311526.9030056,14528
1754311526.9030092,-1992
1754311526.903012,14392
1754311526.903016,14392
1754311526.9030197,14392
1754311526.9030275,-1800
1754311526.9030461,14392
1754311526.9030702,14336
1754311526.9030943,14392
1754311526.9031198,14336
1754311526.9031446,-16328
1754311526.9031694,14392
1754311526.9031973,-2048
1754311526.903222,14336
1754311526.9032485,56
1754311526.9032729,14392
1754311526.9032981,-1800
1754311526.903323,-16328
1754311526.9033484,14392
1754311526.9033735,-16328
1754311526.9033985,-16328
1754311526.9034238,-1800
1754311526.9034479,14392
1754311526.9034722,14584
1754311526.903497,-1992
1754311526.9035218,56
1754311526.9035468,14584
1754311526.9035716,-16328
1754311526.9035969,-1856
1754311526.9036222,-1992
1754311526.9036465,14336
1754311526.903672,0
1754311526.903697,56
1754311526.9037218,14528
1754311526.9037473,14336
1754311526.9039218,14528
1754311526.9039497,56
1754311526.9039905,248
1754311526.904034,56
1754311526.9040813,14336
1754311526.9041076,14336
1754311526.9041307,56
1754311526.904156,14336
1754311526.9042282,-16192
1754311526.904232,-1992
1754311526.9042346,14392
1754311526.9042485,-16192
1754311526.9042752,-16328
1754311526.9043632,-1992
1754311526.9043722,56
1754311526.904376,14528
1754311526.9043794,14336
1754311526.9044142,-1992
1754311526.904454,14584
1754311526.9044878,14584
1754311526.9045117,-16328
1754311526.9045348,14392
1754311526.9045868,-16136
1754311526.9045916,14528
1754311526.9046338,-1800
1754311526.904642,14528
1754311526.9048843,192
1754311526.9048932,-1992
1754311526.9049082,14336
1754311526.9049165,14584
1754311526.9049275,14392
1754311526.9049604,14584
1754311526.905006,-2048
1754311526.9050193,56
1754311526.905048,-16384
1754311526.9050722,-1992
1754311526.9050972,14392
1754311526.9051456,-1856
1754311526.9051526,-16328
1754311526.9051816,-1992
1754311526.9052124,14392
1754311526.9052334,56
1754311526.905254,-16328
1754311526.9052787,14392
1754311526.9053035,56
1754311526.905329,56
1754311526.9053533,-16136
1754311526.9053786,-16328
1754311526.9054031,14392
1754311526.9054282,-1992
1754311526.905453,56
1754311526.9054787,14392
1754311526.9055028,-16384
1754311526.9055278,14392
1754311526.9055529,14584
1754311526.9055789,-16136
1754311526.905604,-1992
1754311526.905632,14336
1754311526.905658,-2048
1754311526.9056833,-16192
1754311526.905708,-16328
1754311526.905733,14392
1754311526.9057581,192
1754311526.9057827,14528
1754311526.905808,-16328
1754311526.9058332,56
1754311526.90586,-1800
1754311526.9058845,-1992
1754311526.9059095,-1800
1754311526.905934,-1992
1754311526.9059625,14336
1754311526.9059825,14336
1754311526.906008,-1992
1754311526.9060338,14392
1754311526.9060588,-16192
1754311526.9060838,56
1754311526.9061098,-1800
1754311526.9061353,14584
