时间戳,数值
1754309900.2931583,-1992
1754309900.2931702,14336
1754309900.2931755,14528
1754309900.2931788,56
1754309900.2931862,14528
1754309900.293197,56
1754309900.293226,14584
1754309900.2932353,56
1754309900.293237,-16328
1754309900.2932415,14336
1754309900.2932448,-16192
1754309900.293251,56
1754309900.2932549,248
1754309900.2932594,14584
1754309900.2932622,-16384
1754309900.2934916,-1992
1754309900.293497,14392
1754309900.2935016,-16136
1754309900.2935138,-16328
1754309900.293521,14392
1754309900.293525,-16384
1754309900.293531,-16328
1754309900.2935343,14336
1754309900.2935379,-16328
1754309900.2935429,56
1754309900.2935472,-1856
1754309900.2935514,14584
1754309900.293569,-2048
1754309900.293573,14392
1754309900.2935803,14392
1754309900.2936141,-1856
1754309900.2936351,14584
1754309900.2936635,0
1754309900.2936988,-1992
1754309900.2937403,14336
1754309900.2937884,-16384
1754309900.2938118,14336
1754309900.2939222,14392
1754309900.2939265,0
1754309900.2939296,14392
1754309900.2939332,14584
1754309900.293938,-16136
1754309900.293958,56
1754309900.293981,14392
1754309900.294005,14392
1754309900.2940285,-1856
1754309900.294052,-16328
1754309900.2940748,-16192
1754309900.2940981,14392
1754309900.2941215,14336
1754309900.2941449,192
1754309900.2941682,14584
1754309900.2941918,14584
1754309900.294217,56
1754309900.2942405,14336
1754309900.2942638,14392
1754309900.2942872,248
1754309900.2943103,-1992
1754309900.2943342,14336
1754309900.294357,14584
1754309900.2943804,56
1754309900.2944043,14336
1754309900.2944288,-2048
1754309900.294472,-16328
1754309900.2944868,14392
1754309900.2945142,-1992
1754309900.2945373,56
1754309900.294565,14336
1754309900.2945898,-2048
1754309900.2946138,14584
1754309900.2946386,-16384
1754309900.294679,14392
1754309900.2946956,56
1754309900.2947583,-1992
1754309900.294793,56
1754309900.2948098,-16136
1754309900.2948341,14584
1754309900.2948585,14392
1754309900.2948933,-1992
1754309900.2949088,14336
1754309900.2949314,-16328
1754309900.2949545,56
1754309900.294978,56
1754309900.295001,14584
1754309900.295039,14584
1754309900.2950428,56
1754309900.2950692,56
1754309900.295094,-16384
1754309900.2951176,56
1754309900.2951403,-1800
1754309900.2951634,-16328
1754309900.2951868,14528
1754309900.2952106,-16328
1754309900.295235,56
1754309900.2952576,-1856
1754309900.2952805,56
1754309900.2953036,14392
1754309900.295328,-16384
1754309900.2953513,-16328
1754309900.2953742,14392
1754309900.295397,192
1754309900.2954204,56
1754309900.2954438,14584
1754309900.295467,-16328
1754309900.2954895,-16328
1754309900.2955132,-16328
1754309900.295536,14392
1754309900.2955592,14336
1754309900.2955885,248
1754309900.2956119,56
1754309900.2956352,14528
1754309900.2956579,-1800
1754309900.295681,14528
1754309900.2957041,248
1754309900.2957268,56
1754309900.2957504,-1800
1754309900.2957733,14584
1754309900.2957962,192
1754309900.29582,56
1754309900.295843,14392
1754309900.2958655,248
1754309900.295889,14392
1754309900.2959118,14528
1754309900.2959347,-16136
1754309900.2959578,14584
1754309900.2959807,14528
1754309900.2960038,14392
1754309900.296027,14584
1754309900.2960496,192
1754309900.2960744,-1992
1754309900.2960997,14336
1754309900.2961228,-16384
1754309900.296146,-1992
1754309900.2961688,14528
1754309900.2962441,-16384
1754309900.2962523,-1856
1754309900.29626,-1992
1754309900.296288,-16384
1754309900.2963264,-16328
1754309900.29635,248
1754309900.296375,56
1754309900.2964013,14392
1754309900.296426,-16328
1754309900.2964504,-1992
1754309900.2964747,-16192
1754309900.2964995,14392
1754309900.2965245,14584
1754309900.2965486,14336
1754309900.296573,56
1754309900.2965984,14392
1754309900.2966223,-1800
1754309900.2966468,14392
1754309900.296671,56
1754309900.2966952,14336
1754309900.2967207,-16328
1754309900.2967455,-16328
1754309900.296771,14584
1754309900.296793,-1856
1754309900.2968173,14584
1754309900.2968416,-1800
1754309900.2968664,-1992
1754309900.2968922,14392
1754309900.2969162,192
1754309900.296942,14392
1754309900.2969663,14528
1754309900.2969909,-16136
1754309900.2970161,56
1754309900.2970405,14392
1754309900.297065,-16328
1754309900.2970893,14528
1754309900.297114,14336
1754309900.297138,-2048
1754309900.2971623,14392
1754309900.2971876,14584
1754309900.2972126,-2048
1754309900.297237,56
1754309900.2972612,14392
1754309900.2972858,14528
1754309900.297311,-16328
1754309900.2973359,-1856
1754309900.29736,-1992
1754309900.2973852,14336
1754309900.2974093,14336
1754309900.297437,14392
1754309900.2974591,-1856
1754309900.2974837,14528
1754309900.2975094,-2048
1754309900.2975347,-16328
1754309900.2975593,14392
1754309900.2975836,14336
1754309900.297608,-16136
1754309900.2976327,-16328
1754309900.2976565,14392
1754309900.2976809,14392
1754309900.2977054,14528
1754309900.2977295,-1992
1754309900.2977536,14392
1754309900.2977784,-1856
1754309900.2978032,14528
1754309900.297828,14392
1754309900.2978518,14336
1754309900.2978776,-2048
1754309900.2979014,14584
1754309900.2979255,-16328
1754309900.2979496,14392
1754309900.2979732,14584
1754309900.2979996,-16328
1754309900.2980237,14528
1754309900.2980485,-16192
1754309900.298074,56
1754309900.2980983,248
1754309900.2981231,14392
1754309900.2981477,-16136
1754309900.2981725,-16328
1754309900.2981968,14392
1754309900.2982213,0
1754309900.298246,56
1754309900.29827,56
1754309900.2982943,14336
1754309900.2983186,14336
1754309900.2983434,0
1754309900.2983677,14392
1754309900.2983923,14528
1754309900.2984169,56
1754309900.2984414,-2048
1754309900.298467,-16328
1754309900.2984912,14336
1754309900.2985156,0
1754309900.2985399,14392
1754309900.2985675,-16384
1754309900.298592,14392
1754309900.2986176,14392
1754309900.298642,14336
1754309900.2986672,-16192
1754309900.2986915,14392
1754309900.2987156,14528
1754309900.29874,-16384
1754309900.2987647,-1800
1754309900.2987893,-1992
1754309900.2988136,14336
1754309900.2988377,14584
1754309900.298862,14336
1754309900.2988865,-1800
1754309900.2989113,56
1754309900.2989361,14528
1754309900.2989604,14392
1754309900.2989848,-16384
1754309900.299009,14392
1754309900.2990339,14392
1754309900.2990584,14528
1754309900.2990825,14528
1754309900.2991145,-1800
1754309900.2991369,14392
1754309900.2991617,-16328
1754309900.2991848,14584
1754309900.299207,-16328
1754309900.2992313,-1992
1754309900.299256,14336
1754309900.2992804,14528
1754309900.2993047,-1992
1754309900.299329,14528
1754309900.2993538,192
1754309900.2993782,14528
1754309900.2994032,-1992
1754309900.2994273,14584
1754309900.2994518,14528
1754309900.2994764,56
1754309900.2995007,192
1754309900.299525,-1992
1754309900.2995496,14584
1754309900.299574,-16136
1754309900.299599,14584
1754309900.2996223,14336
1754309900.299647,-16192
1754309900.2997434,-16328
1754309900.299752,14528
1754309900.2997565,192
1754309900.2997613,14584
1754309900.299786,14584
1754309900.2998085,14528
1754309900.2998314,14392
1754309900.2998562,14392
1754309900.2998812,-1992
1754309900.2999065,14528
1754309900.2999318,0
1754309900.299957,56
1754309900.2999825,14336
1754309900.300007,0
1754309900.300032,-1992
1754309900.3000562,-1992
1754309900.3000813,56
1754309900.300106,14392
1754309900.3001308,-1800
1754309900.3001554,14584
1754309900.3001804,-16328
1754309900.3002052,14584
1754309900.3002377,14528
1754309900.300259,-1992
1754309900.3002846,-1856
1754309900.3003113,-16328
1754309900.3003361,14528
1754309900.3003616,-1856
1754309900.3003867,14392
1754309900.3004115,14392
1754309900.300437,14528
1754309900.3004618,-16328
1754309900.3004866,14336
1754309900.3005116,14336
1754309900.3005366,-16328
