时间戳,数值
1754311302.9188719,192
1754311302.918886,14392
1754311302.9188924,14392
1754311302.918897,248
1754311302.918901,-16328
1754311302.9191911,14584
1754311302.919199,14392
1754311302.919204,56
1754311302.9192076,14336
1754311302.919213,-16328
1754311302.9192169,14392
1754311302.9192202,-1800
1754311302.9192235,-1992
1754311302.919227,14392
1754311302.9192302,-16192
1754311302.9192348,56
1754311302.9192379,14392
1754311302.9192417,14392
1754311302.9192476,14584
1754311302.9193826,192
1754311302.9193873,56
1754311302.9193935,14392
1754311302.9193969,14336
1754311302.9194007,-1800
1754311302.919406,14528
1754311302.91941,-1800
1754311302.9194136,56
1754311302.9194212,-2048
1754311302.9194665,14584
1754311302.9194815,-1856
1754311302.9195268,14392
1754311302.9195418,14528
1754311302.9195879,-16384
1754311302.9196022,-16328
1754311302.919638,-16136
1754311302.9196608,56
1754311302.9196858,14584
1754311302.9197392,-2048
1754311302.919744,14528
1754311302.919762,56
1754311302.9197862,-1992
1754311302.9198313,14392
1754311302.919881,14584
1754311302.9199076,-1992
1754311302.919932,14528
1754311302.919956,0
1754311302.9199805,56
1754311302.920005,-16328
1754311302.9200292,14392
1754311302.920053,-1856
1754311302.9200773,14336
1754311302.9201014,-1856
1754311302.920126,14584
1754311302.9201505,-1856
1754311302.9201746,14528
1754311302.920199,14392
1754311302.920223,192
1754311302.9202473,-1992
1754311302.9202716,14392
1754311302.9203315,-16192
1754311302.920353,14584
1754311302.9203632,14528
1754311302.9203923,14392
1754311302.9204168,14528
1754311302.920441,0
1754311302.9204655,14528
1754311302.92049,-16136
1754311302.9205143,14392
1754311302.9205387,14584
1754311302.920563,-2048
1754311302.9205875,-2048
1754311302.9206111,14392
1754311302.920635,14392
1754311302.9206588,248
1754311302.9206836,-1992
1754311302.9207072,56
1754311302.9207315,192
1754311302.9207568,14392
1754311302.9207807,14528
1754311302.9208045,14392
1754311302.9208288,0
1754311302.9208891,-1992
1754311302.9208972,14336
1754311302.9209177,248
1754311302.92094,14584
1754311302.920964,14392
1754311302.920988,-16328
1754311302.9210122,14528
1754311302.9210358,14392
1754311302.9210596,-16328
1754311302.921084,-1992
1754311302.9211109,14392
1754311302.9211333,14336
1754311302.9211578,-16328
1754311302.9211814,56
1754311302.921205,-16384
1754311302.9212282,-1992
1754311302.9212515,-1800
1754311302.9212742,-16328
1754311302.921297,248
1754311302.9213202,14392
1754311302.9213448,14392
1754311302.921368,-16192
1754311302.9213912,14584
1754311302.921449,56
1754311302.9214592,-1992
1754311302.9214764,-1800
1754311302.9215004,14392
1754311302.921524,14392
1754311302.9215481,-16384
1754311302.9215713,-1992
1754311302.9215941,248
1754311302.9216177,56
1754311302.9216402,56
1754311302.9216633,14584
1754311302.921687,14528
1754311302.9217095,14528
1754311302.921733,14528
1754311302.9217558,14392
1754311302.921779,14584
1754311302.921802,-1800
1754311302.921825,14392
1754311302.921848,14584
1754311302.9218712,-16384
1754311302.921894,14392
1754311302.9219177,-1800
1754311302.9219406,14584
1754311302.9220018,248
1754311302.9220138,56
1754311302.92202,56
1754311302.9220505,-16328
1754311302.9220736,14584
1754311302.9220965,-16328
1754311302.922119,-16328
1754311302.9221423,14392
1754311302.9221654,0
1754311302.9221888,14528
1754311302.9222121,0
1754311302.9222348,-1992
1754311302.9222574,-1800
1754311302.92228,-16328
1754311302.922303,14528
1754311302.9223273,-2048
1754311302.9223506,14584
1754311302.9223735,-2048
1754311302.9223967,14392
1754311302.9224193,-1856
1754311302.9224427,14392
1754311302.9224656,14584
1754311302.9224894,192
1754311302.9225495,-1992
1754311302.9225554,14528
1754311302.9225607,14584
1754311302.9225917,14392
1754311302.9226153,14528
1754311302.9226387,14336
1754311302.9226615,-2048
1754311302.9226847,-1992
1754311302.9227078,-1992
1754311302.9227302,-16192
1754311302.9227538,-16328
1754311302.9227772,14584
1754311302.9228,0
1754311302.922823,-16192
1754311302.9228454,-1992
1754311302.9228685,-1800
1754311302.9228916,-1992
1754311302.9229143,14584
1754311302.9229376,-1856
1754311302.9229617,56
1754311302.922985,248
1754311302.923008,-16328
1754311302.9230309,14528
1754311302.923055,-2048
1754311302.9230785,-16328
1754311302.9231074,14584
1754311302.923392,0
1754311302.923397,14584
1754311302.9234002,-1856
1754311302.9234042,14584
1754311302.9234087,14392
1754311302.9234111,56
1754311302.9234145,248
1754311302.92342,56
1754311302.9234235,14584
1754311302.923427,-1992
1754311302.92343,14392
1754311302.9234333,14392
1754311302.9234366,14392
1754311302.9234407,14336
1754311302.9234438,0
1754311302.9234498,56
1754311302.923465,-2048
1754311302.923488,14392
1754311302.9235108,-1992
1754311302.9235342,-1992
1754311302.9235566,14528
1754311302.9235797,-16328
1754311302.923602,14584
1754311302.9236257,-16192
1754311302.9236832,56
1754311302.9236975,-16328
1754311302.9237194,-16328
1754311302.9237409,56
1754311302.9237642,14584
1754311302.923787,14584
1754311302.9238105,14528
1754311302.9238334,14392
1754311302.9238567,14584
1754311302.92388,-16328
1754311302.9239032,-16328
1754311302.9239264,-1992
1754311302.9239497,-16328
1754311302.9239728,14528
1754311302.9239962,14336
1754311302.9240203,14336
1754311302.9240432,-1856
1754311302.9240663,14528
1754311302.9240894,14336
1754311302.9241123,-2048
1754311302.9241354,-16192
1754311302.924158,-16328
1754311302.9241815,14584
1754311302.924205,-2048
1754311302.9242268,14336
1754311302.9242811,248
1754311302.924285,-16328
1754311302.9243028,-2048
1754311302.924326,14392
1754311302.9243488,14336
1754311302.9243715,-16328
1754311302.924395,-1992
1754311302.9244177,14584
1754311302.924442,-1992
1754311302.924465,-16136
1754311302.9244876,56
1754311302.9245105,-16136
1754311302.9245334,14392
1754311302.924556,14584
1754311302.924579,-1800
1754311302.926166,14584
1754311302.9261894,0
1754311302.926212,-1992
1754311302.9262354,14392
1754311302.9262578,-16328
1754311302.9262815,14392
1754311302.9263043,14336
1754311302.9263277,14336
1754311302.9263506,-16328
1754311302.9263737,14336
1754311302.9263968,14584
1754311302.92642,56
1754311302.926443,14336
1754311302.9264662,-16328
1754311302.9265656,-1992
1754311302.9265695,14392
1754311302.9265728,14528
1754311302.9265764,-16328
1754311302.9265804,14528
1754311302.9266498,-2048
1754311302.9267526,56
1754311302.926774,14528
1754311302.9268038,-1856
1754311302.9268389,14584
1754311302.926842,-1856
1754311302.926867,56
1754311302.9268878,-16136
1754311302.9269247,14528
1754311302.9269638,14528
1754311302.926969,-16328
1754311302.9270022,-1992
1754311302.9270732,-16328
1754311302.9270766,-1800
1754311302.9270794,-1992
1754311302.927121,-1856
1754311302.9271412,56
1754311302.9271653,14392
1754311302.9271846,14336
1754311302.927226,-1800
1754311302.927277,14392
1754311302.927312,14528
1754311302.927316,248
1754311302.9273682,-16328
1754311302.927372,14392
1754311302.927386,-16384
1754311302.9274187,56
1754311302.9274542,14528
1754311302.927458,248
1754311302.9275038,-16328
1754311302.9275086,-1856
1754311302.9275475,14392
1754311302.9275513,14336
1754311302.927573,248
1754311302.9276223,-1992
1754311302.9276795,14336
1754311302.9277346,-1856
1754311302.927738,14584
1754311302.927784,-1992
1754311302.927787,14392
1754311302.9278276,14584
1754311302.929834,-16136
1754311302.9298427,56
1754311302.9298687,192
1754311302.9298913,14392
1754311302.929915,-16328
1754311302.929938,14584
1754311302.9299614,14584
1754311302.9299846,14392
1754311302.9300077,-1800
1754311302.930032,-16328
1754311302.9300554,14392
1754311302.9300783,14336
1754311302.9301014,-1856
1754311302.9301245,14528
1754311302.9301481,-1992
1754311302.9301715,14528
1754311302.9301946,14336
1754311302.9302185,-2048
1754311302.9302418,14392
1754311302.9302642,-1992
1754311302.9302876,-1992
1754311302.930311,14336
1754311302.9303336,14392
1754311302.930357,-2048
1754311302.9303799,14528
1754311302.9304035,-2048
1754311302.9304266,-16136
1754311302.93045,14392
1754311302.9304726,14392
1754311302.930496,56
1754311302.9305193,56
1754311302.9305427,14528
1754311302.930565,-1856
1754311302.9305882,14392
1754311302.9306111,14584
1754311302.9306338,-1856
1754311302.930656,-16328
1754311302.9306788,14336
1754311302.930702,-1856
1754311302.9307249,56
1754311302.930748,0
1754311302.9307706,14392
1754311302.930794,14336
1754311302.9308174,248
1754311302.9308403,-1992
1754311302.9308636,14584
1754311302.9308867,-1992
1754311302.9309628,14392
1754311302.9309702,14392
1754311302.930977,14336
1754311302.9309845,0
1754311302.931012,56
1754311302.9310353,-1992
1754311302.9310586,14336
1754311302.9310822,56
1754311302.9311051,14392
1754311302.9311283,56
1754311302.9311512,14528
1754311302.931174,0
1754311302.931197,14392
1754311302.9329164,14336
1754311302.9329374,0
1754311302.9329615,14336
1754311302.9329853,-1992
1754311302.9330096,14392
1754311302.9330335,-16136
1754311302.9330566,-1992
1754311302.93308,-16192
1754311302.9331036,-1992
1754311302.933127,14336
1754311302.9331503,-1800
1754311302.9331744,14584
1754311302.933198,248
1754311302.9332216,14392
1754311302.9332452,14336
1754311302.9332685,192
1754311302.9332922,56
1754311302.9333155,0
1754311302.9333394,56
1754311302.9333627,14528
1754311302.9333866,-2048
1754311302.933411,14392
1754311302.933434,14392
1754311302.9334574,-16384
1754311302.9334807,-1800
1754311302.9335046,56
1754311302.933528,56
1754311302.933552,192
1754311302.9335754,14528
1754311302.933599,-2048
1754311302.9336226,14392
1754311302.9336457,14392
1754311302.9336698,-1800
1754311302.9336934,56
1754311302.933717,-16192
1754311302.9337728,14528
1754311302.9337802,14528
1754311302.9338,56
1754311302.9338243,-1992
1754311302.9338481,14528
1754311302.9338715,-16328
1754311302.9338968,14528
1754311302.9339206,-1800
1754311302.9339442,-1992
1754311302.9339678,14584
1754311302.9339917,-16136
1754311302.934015,56
1754311302.934039,14392
1754311302.9340632,56
1754311302.9340873,-16384
1754311302.9341106,56
1754311302.9341345,-1992
1754311302.934158,14584
1754311302.934182,14528
1754311302.934206,56
1754311302.9342299,-2048
1754311302.9342532,56
1754311302.934322,-16384
1754311302.9343274,14584
1754311302.9343312,-16136
1754311302.9365156,14584
1754311302.9365199,14336
1754311302.9365268,-1992
1754311302.9365497,14392
1754311302.9366174,14336
