时间戳,数值
1754295725.6962233,16385
1754295725.6962345,-25343
1754295725.696239,-8703
1754295725.6963599,-2815
1754295725.6963634,-21247
1754295725.6963682,12033
1754295725.6963706,24065
1754295725.6963735,-4863
1754295725.696376,9473
1754295725.6963787,7681
1754295725.696384,-29695
1754295725.696401,-3583
1754295725.6964207,9217
1754295725.6964424,-21247
1754295725.6964643,32257
1754295725.6964872,1537
1754295725.6967335,-4095
1754295725.6967556,7425
1754295725.6967778,-29695
1754295725.6968,-24575
1754295725.6972017,-26623
1754295725.6972196,7681
1754295725.6972325,9729
1754295725.6972575,-31231
1754295725.6978254,-5631
1754295725.6978385,-21503
1754295725.6978438,3585
1754295725.697849,-12031
1754295725.6982691,32257
1754295725.6983023,21505
1754295725.6983244,-17663
1754295725.6983593,-26111
1754295725.6987758,23809
1754295725.6987982,9985
1754295725.6988018,-3839
1754295725.6988204,-26111
1754295725.6992083,-8191
1754295725.6992252,8961
1754295725.6992319,-26367
1754295725.6992548,25857
1754295725.6997583,-32767
1754295725.6997757,6913
1754295725.699784,5121
1754295725.6998067,13313
1754295725.7001834,-5375
1754295725.7001972,11521
1754295725.70021,12545
1754295725.7002354,-24575
1754295725.7007587,8449
1754295725.7007728,-24063
1754295725.7007782,-22015
1754295725.7008004,24065
1754295725.701185,-23807
1754295725.7011914,29185
1754295725.7012038,4609
1754295725.7012262,-767
1754295725.7017572,-8447
1754295725.7017722,-22015
1754295725.701778,-12031
1754295725.7018,14593
1754295725.7022054,32001
1754295725.7022197,13569
1754295725.702327,23553
1754295725.702349,17153
1754295725.7026405,-4095
1754295725.702663,2305
1754295725.7026868,6145
1754295725.7027106,-25855
1754295725.703189,-31999
1754295725.7031972,18433
1754295725.703263,3585
1754295725.7032914,11009
1754295725.7036507,7169
1754295725.7036724,-8447
1754295725.7036958,-30719
1754295725.70372,-3327
1754295725.7041402,3073
1754295725.7041686,-28415
1754295725.7041895,-13823
1754295725.7074761,26369
1754295725.7080579,32001
1754295725.7080646,15105
1754295725.708066,-3583
