时间戳,数值
1754448165.0191293,2048
1754448165.0191383,2048
1754448165.0191412,2048
1754448165.0191426,2048
1754448165.0191443,2048
1754448165.0191464,2048
1754448165.019148,2048
1754448165.0191739,2048
1754448165.0191967,2048
1754448165.019201,2048
1754448165.0192025,2048
1754448165.0192041,2048
1754448165.0192077,2048
1754448165.0192108,2048
1754448165.019214,2048
1754448165.019218,2048
1754448165.0192215,2048
1754448165.0192246,2048
1754448165.0192287,2048
1754448165.0192318,2048
1754448165.0192366,2048
1754448165.0192397,2048
1754448165.019243,2048
1754448165.0192456,2048
1754448165.0192485,2048
1754448165.019252,2048
1754448165.0192542,2048
1754448165.019257,2048
1754448165.0192595,2048
1754448165.0192626,2048
1754448165.0192668,2048
1754448165.01927,2048
1754448165.0192728,2048
1754448165.0192752,2048
1754448165.0192776,2048
1754448165.0192804,2048
1754448165.0192842,2048
1754448165.0192873,2048
1754448165.0192907,2048
1754448165.0192964,2048
1754448165.0192997,2048
1754448165.0193033,2048
1754448165.0193057,2048
1754448165.0193083,2048
1754448165.0193117,2048
1754448165.0193152,2048
1754448165.0193179,2048
1754448165.0193212,2048
1754448165.0193255,2048
1754448165.0193284,2048
1754448165.019331,2048
1754448165.0193338,2048
1754448165.0193365,2048
1754448165.0193396,2048
1754448165.0193431,2048
1754448165.01935,2048
1754448165.0193539,2048
1754448165.0193567,2048
1754448165.0193598,2048
1754448165.0193622,2048
1754448165.019365,2048
1754448165.019368,2048
1754448165.0193706,2048
1754448165.0193727,2048
1754448165.0193753,2048
1754448165.0193784,2048
1754448165.019381,2048
1754448165.0193846,2048
1754448165.0193875,2048
1754448165.0193906,2048
1754448165.019393,2048
1754448165.0193956,2048
1754448165.0193987,2048
1754448165.019402,2048
1754448165.019405,2048
1754448165.019408,2025
1754448165.0194125,1014
1754448165.0194159,-1413
1754448165.0194187,-2044
1754448165.0194213,-2048
1754448165.019424,-2048
1754448165.019427,-2048
1754448165.0194306,-2048
1754448165.0194333,-2048
1754448165.019436,-2048
1754448165.0194402,-2048
1754448165.0194433,-2048
1754448165.0194461,-2048
1754448165.0194485,-2048
1754448165.019451,-2048
1754448165.0194542,-2048
1754448165.0194576,-2048
1754448165.0194602,-2048
1754448165.0194628,-2048
1754448165.0194676,-2048
1754448165.0194705,-2048
1754448165.0194733,-2048
1754448165.0194776,-2048
1754448165.019481,-2048
1754448165.0194848,-2048
1754448165.0194871,-2048
1754448165.0194902,-2048
1754448165.019493,-2048
1754448165.0194967,-2048
1754448165.0194995,-2048
1754448165.0195022,-2048
1754448165.0195045,-2048
1754448165.0195072,-2048
1754448165.01951,-2048
1754448165.0195131,-2048
1754448165.0195158,-2048
1754448165.0195181,-2048
1754448165.019521,-2048
1754448165.0195255,-2048
1754448165.0195286,-2048
1754448165.0195312,-2048
1754448165.0195336,-2048
1754448165.019536,-2048
1754448165.0195394,-2048
1754448165.019542,-2048
1754448165.019545,-2048
1754448165.0195477,-2048
1754448165.0195508,-2048
1754448165.019555,-2048
1754448165.019558,-2048
1754448165.0195594,-2048
1754448165.0195622,-2048
1754448165.0195649,-2048
1754448165.0195673,-2048
1754448165.0195704,-2048
1754448165.0195749,-2048
1754448165.0195775,-2048
1754448165.019579,-2048
1754448165.019582,-2048
1754448165.0195863,-2048
1754448165.0195892,-2048
1754448165.0195923,-2048
1754448165.0195944,-2048
1754448165.0195968,-2048
1754448165.0195985,-2048
1754448165.0196016,-2048
1754448165.019605,-2048
1754448165.0196075,-2048
1754448165.0196106,-2048
1754448165.019615,-2048
1754448165.0196178,-2048
1754448165.0196207,-2048
1754448165.0196228,-2048
1754448165.0196254,-2048
1754448165.0196285,-2048
1754448165.0196319,-2048
1754448165.01966,1082
1754448165.019663,2029
1754448165.0196655,2048
1754448165.0196683,2048
1754448165.0196712,2048
1754448165.0196755,2048
1754448165.0196776,2048
1754448165.0196807,2048
1754448165.0196853,2048
1754448165.0196884,2048
1754448165.019691,2048
1754448165.0196943,2048
1754448165.0196967,2048
1754448165.0197005,2048
1754448165.0197039,2048
1754448165.019706,2048
1754448165.019709,2048
1754448165.0197132,2048
1754448165.0197163,2048
1754448165.0197191,2048
1754448165.0197217,2048
1754448165.0197244,2048
1754448165.0197275,2048
1754448165.01973,2048
1754448165.019733,2048
1754448165.0197353,2048
1754448165.0197382,2048
1754448165.0197427,2048
1754448165.0197456,2048
1754448165.019747,2048
1754448165.01975,2048
1754448165.0197525,2048
1754448165.0197551,2048
1754448165.0197577,2048
