时间戳,数值
1754311834.7763648,-2048
1754311834.7763739,14584
1754311834.7763774,-1856
1754311834.7763798,56
1754311834.7763848,14392
1754311834.7763877,14584
1754311834.7763906,56
1754311834.7763941,-16192
1754311834.776397,14392
1754311834.7764022,14528
1754311834.776406,-2048
1754311834.7764235,-1856
1754311834.7764294,56
1754311834.7764611,14584
1754311834.7764828,0
1754311834.7765038,56
1754311834.7765253,192
1754311834.776546,14392
1754311834.7765598,14336
1754311834.776595,-16192
1754311834.7765985,56
1754311834.7766314,192
1754311834.7766483,-1992
1754311834.776678,14392
1754311834.776708,248
1754311834.7767146,-1992
1754311834.776737,14336
1754311834.7767565,14584
1754311834.7767868,14528
1754311834.7768052,-2048
1754311834.7768233,14584
1754311834.7768505,-1992
1754311834.7768714,56
1754311834.776891,14336
1754311834.776918,0
1754311834.7769215,14336
1754311834.7769518,-1856
1754311834.7769697,14528
1754311834.7769947,14528
1754311834.7770245,14584
1754311834.7770305,56
1754311834.7770526,14392
1754311834.7770822,14392
1754311834.7770958,56
1754311834.7771242,-1800
1754311834.7771504,56
1754311834.7771564,14392
1754311834.7771902,248
1754311834.7772014,14584
1754311834.7772238,-16328
1754311834.7772493,-1992
1754311834.777269,-1800
1754311834.777283,-1992
1754311834.777311,14528
1754311834.7773252,-1800
1754311834.7773464,56
1754311834.7773724,56
1754311834.7773972,-16328
1754311834.7774165,14584
1754311834.7774963,-16136
1754311834.7782283,14584
1754311834.7782512,-1856
1754311834.7782729,-1992
1754311834.7782953,14584
1754311834.7783153,14584
1754311834.7783377,56
1754311834.7783582,14584
1754311834.7783804,-1856
1754311834.7784,14584
1754311834.7784214,14528
1754311834.778443,-1992
1754311834.7784655,-16192
1754311834.7784874,-16328
1754311834.778509,14336
1754311834.7785304,0
1754311834.7785516,14336
1754311834.7785733,14528
1754311834.7785957,56
1754311834.7786174,-1856
1754311834.778639,-16328
1754311834.7786605,14336
1754311834.778682,14584
1754311834.7787037,14392
1754311834.7787256,14336
1754311834.7787468,14528
1754311834.7787688,14336
1754311834.7787914,14336
1754311834.7788107,192
1754311834.778833,-1992
1754311834.7788544,-1856
1754311834.7788758,-16328
1754311834.7788975,14336
1754311834.778919,-2048
1754311834.7789423,14392
1754311834.7789626,56
1754311834.7789845,14392
1754311834.7790039,-1992
1754311834.7790256,14528
1754311834.779048,-1856
1754311834.7790694,56
1754311834.7790914,14528
1754311834.779113,14336
1754311834.7791343,14528
1754311834.7791567,-16384
1754311834.7791772,56
1754311834.7791977,-1800
1754311834.7792184,56
1754311834.779238,56
1754311834.77926,-1992
1754311834.779282,14584
1754311834.7793038,192
1754311834.7793255,14392
1754311834.7793472,14336
1754311834.7793689,248
1754311834.7793918,56
1754311834.7794118,14528
1754311834.7794335,14584
1754311834.7794554,-16136
1754311834.779477,-16328
1754311834.779499,14336
1754311834.781579,-2048
1754311834.7815936,14336
1754311834.781615,-16136
1754311834.7816367,14392
1754311834.7816563,14392
1754311834.781679,56
1754311834.781701,14528
1754311834.7817228,14584
1754311834.781745,-16328
1754311834.7817674,56
1754311834.7817898,14584
1754311834.7818122,14528
1754311834.781834,-16328
1754311834.781856,-16136
1754311834.7818782,14392
1754311834.7819004,14392
1754311834.7819226,14528
1754311834.7819457,56
1754311834.781966,14336
1754311834.7819889,14528
1754311834.7820091,14392
1754311834.782032,-1856
1754311834.7820523,-16328
1754311834.782075,-2048
1754311834.7820969,-1992
1754311834.7821193,192
1754311834.78215,-1992
1754311834.7821631,14336
1754311834.7821856,-16328
1754311834.7824478,14584
1754311834.7824533,14528
1754311834.7824564,-16328
1754311834.7824595,14336
1754311834.7824645,14392
1754311834.7824676,56
1754311834.7824705,14584
1754311834.7824733,14528
1754311834.782476,-16328
1754311834.782517,-1856
1754311834.782521,-1992
1754311834.7825239,14528
1754311834.7826939,14336
1754311834.782699,14584
1754311834.7827027,-2048
1754311834.7827053,14584
1754311834.7827084,0
1754311834.7827122,56
1754311834.7827172,14336
1754311834.78272,-16384
1754311834.7827232,56
1754311834.7827291,-16328
1754311834.782732,14336
1754311834.7827563,-16384
1754311834.7827778,14392
1754311834.7827985,-1856
1754311834.782821,-1992
1754311834.7828434,14528
1754311834.7828658,14336
1754311834.7828884,-1992
1754311834.7829108,14336
1754311834.7849452,-16192
1754311834.7849715,14392
1754311834.7851195,14528
1754311834.7851284,0
1754311834.785141,14336
1754311834.7851443,14528
1754311834.7851486,56
1754311834.7851512,-16192
1754311834.7851527,14392
1754311834.7851543,-16384
1754311834.7851737,56
1754311834.7851973,248
1754311834.7852194,14392
1754311834.7852411,14584
1754311834.7852626,14528
1754311834.785284,14528
1754311834.785305,-16328
1754311834.785327,-16328
1754311834.7853484,14336
1754311834.7853696,14584
1754311834.7853909,-16136
1754311834.785413,14584
1754311834.7854345,14528
1754311834.7854557,56
1754311834.7854772,-16384
1754311834.7854986,56
1754311834.7855208,14336
1754311834.7855406,-2048
1754311834.785563,56
1754311834.785586,14584
1754311834.7856054,14336
1754311834.7856271,-16328
1754311834.7856493,192
1754311834.7898555,-16328
1754311834.7898614,14528
1754311834.7898645,14528
1754311834.789867,-16328
1754311834.7898684,14392
1754311834.7898724,14584
1754311834.789875,14528
1754311834.7898781,-2048
1754311834.7898803,56
1754311834.7898836,14392
1754311834.7898896,56
1754311834.789896,-1992
1754311834.7899914,-16328
1754311834.7901201,-16328
1754311834.7901247,-1800
1754311834.7901285,-16328
