时间戳,数值
1754449141.2212038,-32768
1754449141.2212124,-32768
1754449141.2212179,-32768
1754449141.221221,-32768
1754449141.2212255,-32768
1754449141.221233,-32768
1754449141.2212365,-32768
1754449141.2212393,-32768
1754449141.2212427,-32768
1754449141.2212462,-32768
1754449141.2212503,-32768
1754449141.2212532,-32768
1754449141.2212567,-32768
1754449141.2212615,-32768
1754449141.2212644,-32768
1754449141.2212677,-32768
1754449141.2212706,-32768
1754449141.221274,-32768
1754449141.2212768,-32768
1754449141.2212799,-32768
1754449141.2212825,-32768
1754449141.221285,-32768
1754449141.2212882,-32768
1754449141.2212913,-32768
1754449141.221295,-32768
1754449141.2212987,-32768
1754449141.221302,-32768
1754449141.2213047,-32768
1754449141.2213073,-32768
1754449141.2213106,-32768
1754449141.2213135,-32768
1754449141.2213166,-32768
1754449141.2213194,-32768
1754449141.2213235,-32768
1754449141.221326,-32768
1754449141.22133,-32768
1754449141.2214122,-32768
1754449141.221416,-32768
1754449141.2214198,-32768
1754449141.2214227,-32768
1754449141.2214267,-32768
1754449141.2214296,-32768
1754449141.2214336,-32768
1754449141.2214367,-32768
1754449141.2214396,-32768
1754449141.2214422,-32768
1754449141.221445,-32768
1754449141.2214484,-32768
1754449141.2214515,-32768
1754449141.221609,-32768
1754449141.2216141,-32768
1754449141.2216172,-32768
1754449141.2216203,-32768
1754449141.2216237,-32768
1754449141.2216263,-32768
1754449141.2216291,-32768
1754449141.221632,-32768
1754449141.2216353,-32768
1754449141.22164,-32768
1754449141.2216434,-32768
1754449141.2216465,-32768
1754449141.2216496,-32768
1754449141.2216525,-32768
1754449141.2216558,-32768
1754449141.2216594,-32768
1754449141.2216628,-32768
1754449141.2216659,-32768
1754449141.221687,-32768
1754449141.2216926,-32768
1754449141.2217143,-32768
1754449141.221721,-32768
1754449141.221754,-32768
1754449141.2217774,-32768
1754449141.2218041,-32768
1754449141.2218533,-32768
1754449141.2218957,-32768
1754449141.2219086,-32768
1754449141.2219508,-32768
1754449141.221963,-32768
1754449141.2219992,-32768
1754449141.2220216,-32768
1754449141.222049,-32768
1754449141.2220783,-32768
1754449141.2220993,-32768
1754449141.222121,-32768
1754449141.2221498,-32768
1754449141.2221763,-32768
1754449141.2222018,-32768
1754449141.2222214,-32768
1754449141.2222495,-32768
1754449141.2222705,-32768
1754449141.2223082,-30552
1754449141.2223237,-2216
1754449141.2223883,29439
1754449141.222396,32767
1754449141.2224035,-32768
1754449141.2224832,-32768
1754449141.2224867,-32768
1754449141.2224908,-32768
1754449141.2225163,-32768
1754449141.2225206,-32768
1754449141.2227247,-32768
1754449141.2227304,-32768
1754449141.222735,-32768
1754449141.2227383,-32768
1754449141.222742,-32768
1754449141.2227452,-32768
1754449141.2227492,-32768
1754449141.2227528,-32768
1754449141.2227569,-32768
1754449141.22276,-32768
1754449141.222763,-32768
1754449141.2227826,-32768
1754449141.2227862,-32768
1754449141.2228239,-32768
1754449141.2228367,-32768
1754449141.2228575,-32768
1754449141.2228794,-32768
1754449141.2229116,-32768
1754449141.2229385,-32768
1754449141.2229695,-32768
1754449141.222976,-32768
1754449141.223015,-32768
1754449141.2230284,-32768
1754449141.2230496,-32768
1754449141.223082,-32768
1754449141.223108,-32768
1754449141.2231245,-32768
1754449141.2231598,-32768
1754449141.2231877,-32768
1754449141.223202,-32768
1754449141.2232313,-32768
1754449141.2232623,-32768
1754449141.2232745,-32768
1754449141.2233086,-32768
1754449141.2233148,-32768
1754449141.2233565,-32768
1754449141.22336,-32768
1754449141.2233942,-32768
1754449141.223419,-32768
1754449141.2234468,-32768
1754449141.2234595,-32768
1754449141.2234936,-32768
1754449141.2235062,-32768
1754449141.223529,-32768
1754449141.2235694,-32768
1754449141.2235913,-32768
1754449141.2236142,-32768
1754449141.2236485,-32768
1754449141.2236667,-32768
1754449141.2236955,-32768
1754449141.2237077,-32768
1754449141.223734,-32768
1754449141.2237558,-32768
1754449141.2237952,-32768
1754449141.2238135,32766
1754449141.2238288,28087
1754449141.223868,-6253
1754449141.223871,-31306
1754449141.2239249,-32768
1754449141.2239301,-32768
1754449141.223936,-32768
1754449141.223967,-32768
1754449141.223986,-32768
1754449141.2240164,-32768
1754449141.2240424,-32768
1754449141.2240593,-32768
1754449141.2240877,-32768
1754449141.2241144,-32768
1754449141.224134,-32768
1754449141.2241695,-32768
1754449141.224173,-32768
1754449141.2242193,-32768
1754449141.224233,-32768
1754449141.2242472,-32768
1754449141.2242813,-32768
1754449141.2243018,-32768
1754449141.2243307,-32768
1754449141.224362,-32768
1754449141.224368,-32768
1754449141.2244134,-32768
1754449141.2244346,-32768
1754449141.2244473,-32768
1754449141.2244709,-32768
1754449141.2245069,-32768
1754449141.224531,-32768
1754449141.2245347,-32768
1754449141.22456,-32768
1754449141.2245886,-32768
1754449141.2246,-32768
1754449141.2246344,-32768
1754449141.2246642,-32768
1754449141.2246962,-32768
1754449141.2247024,-32768
1754449141.224743,-32768
1754449141.2247612,-32768
1754449141.2247772,-32768
1754449141.2248127,-32768
1754449141.2248309,-32768
1754449141.2248502,-32768
1754449141.2248855,-32768
1754449141.224906,-32768
1754449141.2249374,-32768
1754449141.224961,-32768
1754449141.2249937,-32768
1754449141.225017,-32768
1754449141.22505,-32768
1754449141.2250621,-32768
1754449141.2251081,-32768
1754449141.2251112,-32768
1754449141.2251465,-32768
1754449141.2251606,-32768
1754449141.2251854,-32768
1754449141.2252085,-32768
1754449141.2252316,-32768
1754449141.2252598,-32768
1754449141.2252913,-32768
1754449141.225322,-32768
1754449141.2253525,-32768
1754449141.2253585,-32768
1754449141.2253947,-32768
1754449141.2254174,-32768
1754449141.22545,-32768
1754449141.2254531,-32768
1754449141.225479,-32768
1754449141.2255023,-32768
1754449141.2255244,-32768
